メーカー,ジャンル,型番,に,ほ,5番,6番,自社,定価,仕入値,売値
バクマ工業,配管・部材,AD-6,0,0,0,0,0,3070,1075,1382
バクマ工業,配管・部材,AD-7,0,0,0,0,0,3500,1225,1575
バクマ工業,配管・部材,AD-10,0,0,0,0,0,5450,1908,2452
バクマ工業,配管・部材,AD-14,0,0,0,0,0,7960,2786,3582
バクマ工業,配管・部材,AW-6,0,0,0,0,0,1170,410,526
バクマ工業,配管・部材,AW-7,0,0,0,0,0,1330,466,598
バクマ工業,配管・部材,AW-10,0,0,0,0,0,2520,882,1134
バクマ工業,配管・部材,AW-14,0,0,0,0,0,3360,1176,1512
バクマ工業,配管・部材,AWA-7,0,0,0,0,0,1170,410,526
バクマ工業,配管・部材,AWM-7,0,0,0,0,0,1470,515,662
バクマ工業,配管・部材,AWM-7L,0,0,0,0,0,1470,515,662
バクマ工業,配管・部材,AWK-7,0,0,0,0,0,1890,662,850
バクマ工業,配管・部材,AWAK-7,0,0,0,0,0,1890,662,850
バクマ工業,配管・部材,AWX-7,0,0,0,0,0,1890,662,850
バクマ工業,配管・部材,AK-6,0,0,0,0,0,1170,410,526
バクマ工業,配管・部材,AK-7,0,0,0,0,0,1330,466,598
バクマ工業,配管・部材,AK-10,0,0,0,0,0,2520,882,1134
バクマ工業,配管・部材,AK-14,0,0,0,0,0,3360,1176,1512
バクマ工業,配管・部材,AKF-6,0,0,0,0,0,950,333,428
バクマ工業,配管・部材,AKF-7,0,0,0,0,0,1070,375,482
バクマ工業,配管・部材,AKF-10,0,0,0,0,0,2040,714,918
バクマ工業,配管・部材,AKF-14,0,0,0,0,0,2740,959,1233
バクマ工業,配管・部材,AC-6,0,0,0,0,0,1170,410,526
バクマ工業,配管・部材,AC-7,0,0,0,0,0,1330,466,598
バクマ工業,配管・部材,AC-10,0,0,0,0,0,2520,882,1134
バクマ工業,配管・部材,AC-14,0,0,0,0,0,3360,1176,1512
バクマ工業,配管・部材,ACF-7,0,0,0,0,0,1070,375,482
バクマ工業,配管・部材,AJ-6,0,0,0,0,0,330,116,148
バクマ工業,配管・部材,AJ-7,0,0,0,0,0,440,154,198
バクマ工業,配管・部材,AJ-10,0,0,0,0,0,950,333,428
バクマ工業,配管・部材,AJ-14,0,0,0,0,0,1350,473,608
バクマ工業,配管・部材,AT-7,0,0,0,0,0,3360,1176,1512
バクマ工業,配管・部材,AT-10,0,0,0,0,0,4750,1663,2138
バクマ工業,配管・部材,AT-14,0,0,0,0,0,5590,1957,2516
バクマ工業,配管・部材,AJA-10,0,0,0,0,0,1890,662,850
バクマ工業,配管・部材,AJA-10-7,0,0,0,0,0,3400,1190,1530
バクマ工業,配管・部材,AES-6,0,0,0,0,0,440,154,198
バクマ工業,配管・部材,AES-7,0,0,0,0,0,500,175,225
バクマ工業,配管・部材,AE-7,0,0,0,0,0,740,259,333
バクマ工業,配管・部材,AE-10,0,0,0,0,0,1440,504,648
バクマ工業,配管・部材,AE-14,0,0,0,0,0,2040,714,918
バクマ工業,配管・部材,AP-7,0,0,0,0,0,1610,564,724
バクマ工業,配管・部材,AP-10,0,0,0,0,0,1890,662,850
バクマ工業,配管・部材,AF-6-500,0,0,0,0,0,850,298,382
バクマ工業,配管・部材,AF-6-1000,0,0,0,0,0,1440,504,648
バクマ工業,配管・部材,AF-7-500,0,0,0,0,0,1010,354,454
バクマ工業,配管・部材,AF-7-1000,0,0,0,0,0,1680,588,756
バクマ工業,配管・部材,AF-10-800,0,0,0,0,0,2110,739,950
バクマ工業,配管・部材,AF-14-800,0,0,0,0,0,2550,893,1148
バクマ工業,配管・部材,AF-7-2000,0,0,0,0,0,3220,1127,1449
バクマ工業,配管・部材,AFJ-7,0,0,0,0,0,330,116,148
バクマ工業,配管・部材,RD-70,0,0,0,0,0,2120,742,954
バクマ工業,配管・部材,RD-90,0,0,0,0,0,3430,1201,1544
バクマ工業,配管・部材,RDW-70,0,0,0,0,0,840,294,378
バクマ工業,配管・部材,RDW-90,0,0,0,0,0,1450,508,652
バクマ工業,配管・部材,RDWA-70,0,0,0,0,0,700,245,315
バクマ工業,配管・部材,RDWA-90,0,0,0,0,0,1220,427,549
バクマ工業,配管・部材,RDWM-70,0,0,0,0,0,950,333,428
バクマ工業,配管・部材,RDWM-90,0,0,0,0,0,1600,560,720
バクマ工業,配管・部材,RDWM-70L,0,0,0,0,0,950,333,428
バクマ工業,配管・部材,RDWM-90L,0,0,0,0,0,1600,560,720
バクマ工業,配管・部材,RDWK-70,0,0,0,0,0,1310,459,590
バクマ工業,配管・部材,RDWX-70,0,0,0,0,0,1310,459,590
バクマ工業,配管・部材,RDK-70,0,0,0,0,0,840,294,378
バクマ工業,配管・部材,RDK-90,0,0,0,0,0,1450,508,652
バクマ工業,配管・部材,RDKF-70,0,0,0,0,0,680,238,306
バクマ工業,配管・部材,RDKF-90,0,0,0,0,0,1310,459,590
